"","id","installation_date","subscripiton_date","country","initial_app_version","initial_ios_version","initial_device","days_until_churn","churned"
"57","100000418790702","2018-03-31 23:06:41","2018-04-10 14:21:26","United States","1.9.5","11.2.5","UIDeviceKindIPhone7Plus",10,1
"58","100000418819461","2018-04-05 23:09:24","2018-04-10 16:18:52","United Kingdom","1.9.6","10.3.2","UIDeviceKindIPhone6S",2,1
"59","100000418907761","2016-11-28 00:22:03","2018-04-10 23:09:33","United States","1.6.3","11.0.2","UIDeviceKindIPhone7Plus",NA,0
"60","100000418926754","2017-12-29 19:49:01","2018-04-11 00:34:43","United States","1.9.6","11.2.6","UIDeviceKindIPhone8Plus",NA,0
"61","100000419080183","2018-04-08 16:38:50","2018-04-11 13:29:29","United States","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"62","100000419502158","2018-04-11 20:52:45","2018-04-12 20:06:07","United Kingdom","1.9.6","11.3","UIDeviceKindIPhone7",4,1
"63","100000419556148","2018-04-13 00:01:24","2018-04-13 00:02:46","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",11,1
"64","100000419597362","2018-04-13 02:38:30","2018-04-13 02:39:56","United States","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"65","100000419650822","2016-11-28 21:31:46","2018-04-13 06:21:33","United Kingdom","1.6.3","11.0","UIDeviceKindUnknownIPhone",NA,0
"66","100000419709998","2018-04-13 11:12:25","2018-04-13 11:18:40","Australia","1.9.6","11.2.6","UIDeviceKindIPhone7",NA,0
"67","100000419728728","2018-04-13 12:26:21","2018-04-13 12:35:06","United Kingdom","1.9.6","11.1.2","UIDeviceKindIPhoneX",NA,0
"68","100000419788825","2017-10-21 03:09:52","2018-04-13 16:06:27","United States","1.6.3","11.0","UIDeviceKindUnknownIPhone",NA,0
"69","100000419957197","2018-04-14 03:27:02","2018-04-14 03:29:51","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",13,1
"70","100000420053180","2018-04-14 09:16:04","2018-04-14 10:54:25","Australia","1.9.6","11.2.5","UIDeviceKindIPhone8Plus",NA,0
"71","100000420142683","2018-04-14 16:02:27","2018-04-14 16:11:31","Russia","1.9.6","11.3","UIDeviceKindIPhone7Plus",NA,0
"72","100000420146244","2018-04-14 16:09:05","2018-04-14 16:22:42","United Kingdom","1.9.6","11.2.6","UIDeviceKindIPhone6",NA,0
"73","100000420172163","2017-09-20 03:21:50","2018-04-14 17:53:10","United States","1.9.6","11.2.6","UIDeviceKindIPhone6SPlus",1,1
"74","100000420212551","2017-01-05 16:56:09","2018-04-14 20:44:50","United States","1.1.1","10.2","UIDeviceKindIPhone7Plus",NA,0
"75","100000420312405","2017-06-01 10:06:51","2018-04-15 03:36:17","United States","1.7.5","11.1.2","UIDeviceKindIPhone8Plus",8,1
"76","100000420407430","2018-04-15 10:23:59","2018-04-15 11:01:03","Australia","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"77","100000420554086","2018-03-27 13:05:39","2018-04-15 19:46:43","United States","1.9.3","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"78","100000420566967","2018-04-15 19:36:07","2018-04-15 20:40:51","Canada","1.9.6","11.2.6","UIDeviceKindIPhoneX",0,1
"79","100000420617964","2017-05-06 03:29:30","2018-04-16 00:14:13","United States","1.6.1","10.3.3","UIDeviceKindIPhone6S",0,1
"80","100000420639448","2016-12-28 19:33:20","2018-04-16 01:38:45","United States","1.1.1","10.2","UIDeviceKindIPhone7",26,1
"81","100000420666516","2018-04-16 03:02:56","2018-04-16 03:32:39","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",8,1
"82","100000420673545","2018-04-16 03:56:13","2018-04-16 04:03:46","Canada","1.9.6","10.3.2","UIDeviceKindIPhone6S",NA,0
"83","100000420692350","2018-04-16 05:35:22","2018-04-16 05:38:07","Canada","1.9.6","11.2.6","UIDeviceKindIPhone7",NA,0
"84","100000420951495","2018-04-16 23:54:35","2018-04-17 00:53:05","United States","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"85","100000420982194","2018-04-17 01:44:19","2018-04-17 03:06:11","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"86","100000421017740","2018-04-05 21:36:28","2018-04-17 06:04:39","United States","1.9.6","11.3","UIDeviceKindIPhone6",NA,0
"87","100000421245902","2017-12-28 19:31:59","2018-04-18 00:01:00","United States","1.9.6","11.2.6","UIDeviceKindIPhone8",NA,0
"88","100000421272931","2018-04-18 01:54:44","2018-04-18 01:56:46","United States","1.9.6","11.1.2","UIDeviceKindIPhone7Plus",NA,0
"89","100000421297352","2018-04-18 03:49:28","2018-04-18 03:51:21","United States","1.9.6","11.3","UIDeviceKindIPhone7",0,1
"90","100000421323820","2017-08-24 21:54:44","2018-04-18 06:11:20","Russia","1.9.6","11.3","UIDeviceKindIPhoneX",5,1
"91","100000421347116","2018-04-18 08:34:39","2018-04-18 08:42:13","Singapore","1.9.6","11.3","UIDeviceKindIPhone7",0,1
"92","100000421516205","2018-04-18 21:41:57","2018-04-18 21:50:18","Canada","1.9.6","11.3","UIDeviceKindIPhone6S",NA,0
"93","100000421550629","2018-03-22 19:36:13","2018-04-19 00:35:55","United States","1.9.3","11.2.6","UIDeviceKindIPhone6S",NA,0
"94","100000421560288","2018-04-19 01:13:49","2018-04-19 01:20:09","United States","1.9.6","11.3","UIDeviceKindIPhone7Plus",NA,0
"95","100000421923034","2018-03-01 23:33:41","2018-04-20 04:11:23","United States","1.9.3","11.2.5","UIDeviceKindIPhone8Plus",NA,0
"96","100000422103022","2018-02-12 14:50:26","2018-04-20 16:51:43","United Kingdom","1.9.3","11.2.5","UIDeviceKindIPhone7",NA,0
"97","100000422156500","2018-04-20 20:31:49","2018-04-20 20:36:31","United Kingdom","1.9.6","11.1.2","UIDeviceKindIPhone6",NA,0
"98","100000422216483","2017-07-21 17:37:29","2018-04-21 00:42:26","United States","1.5.5","10.3.2","UIDeviceKindIPhone6S",0,1
"99","100000422235796","2017-04-13 20:23:23","2018-04-21 01:59:24","United States","1.4.1","10.2","UIDeviceKindIPhone7",NA,0
"100","100000422240287","2018-04-21 02:16:24","2018-04-21 02:18:16","United States","1.9.6","11.2.2","UIDeviceKindIPhone8",NA,0
"101","100000422265777","2018-04-21 03:53:31","2018-04-21 03:56:46","United States","1.9.6","10.2.1","UIDeviceKindIPhone7Plus",NA,0
"102","100000422285479","2017-10-14 17:06:51","2018-04-21 05:16:33","United States","1.6.3","11.0.2","UIDeviceKindIPhone7",7,1
"103","100000422326913","2018-04-21 06:42:29","2018-04-21 08:33:12","Vietnam","1.9.6","11.2.1","UIDeviceKindIPhone6SPlus",NA,0
"104","100000422562515","2018-04-22 00:53:12","2018-04-22 00:55:47","United States","1.9.6","11.3","UIDeviceKindIPhone7",NA,0
"105","100000422574045","2018-03-22 02:33:21","2018-04-22 01:43:38","United States","1.9.6","11.2.6","UIDeviceKindIPhone8",NA,0
"106","100000422597093","2017-05-25 04:11:16","2018-04-22 03:19:54","United States","1.9.6","11.3","UIDeviceKindIPhone7Plus",22,1
"107","100000422660024","2017-11-18 22:22:26","2018-04-22 08:02:12","United Kingdom","1.7.5","11.0","UIDeviceKindIPhone8Plus",NA,0
"108","100000422709784","2018-04-21 19:20:32","2018-04-22 12:11:39","United States","1.9.6","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"109","100000422742112","2018-04-22 14:10:54","2018-04-22 14:12:44","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",NA,0
"110","100000422813652","2018-04-22 18:18:41","2018-04-22 18:22:37","United States","1.9.6","11.2.6","UIDeviceKindIPhone7",1,1
"111","100000422822526","2016-12-30 18:18:56","2018-04-22 18:57:43","United States","1.5","10.3.2","UIDeviceKindIPhone7",NA,0
"112","100000422835244","2018-04-22 17:18:58","2018-04-22 19:45:03","Canada","1.9.6","11.3","UIDeviceKindIPhone6S",0,1
"113","100000422848103","2018-04-22 19:48:05","2018-04-22 20:36:46","Finland","1.9.6","11.2.6","UIDeviceKindIPhone6",NA,0
"114","100000422862499","2018-04-22 21:30:35","2018-04-22 21:33:06","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",NA,0
"115","100000422863428","2017-03-01 03:27:59","2018-04-22 21:36:30","United States","1.8","11.2.1","UIDeviceKindIPhone8Plus",NA,0
"116","100000422884613","2018-04-22 22:50:50","2018-04-22 23:03:53","Israel","1.9.6","11.3","UIDeviceKindIPhoneX",NA,0
"117","100000422898067","2018-03-31 21:47:22","2018-04-23 00:06:10","United States","1.9.5","11.2.6","UIDeviceKindIPhoneX",21,1
"118","100000422932322","2018-04-23 01:34:09","2018-04-23 02:03:46","United States","1.9.6","11.2.6","UIDeviceKindIPhone6",NA,0
"119","100000422932958","2017-02-10 21:34:37","2018-04-23 02:05:30","United States","1.9.3","11.2.6","UIDeviceKindIPhone6S",NA,0
"120","100000422936923","2018-04-23 02:17:25","2018-04-23 02:18:12","United States","1.9.6","11.3","UIDeviceKindIPhone8Plus",NA,0
"121","100000423072853","2018-02-01 20:53:00","2018-04-23 12:51:02","United Kingdom","1.9.1","11.2.5","UIDeviceKindIPhone8",5,1
"122","100000423155361","2018-04-23 18:24:03","2018-04-23 18:28:50","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"123","100000423164784","2018-04-06 00:16:12","2018-04-23 19:11:10","Ireland","1.9.6","11.3","UIDeviceKindIPhoneSE",NA,0
"124","100000423192399","2018-04-23 21:15:08","2018-04-23 21:20:51","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",1,1
"125","100000423206817","2018-04-23 22:24:51","2018-04-23 22:29:13","Switzerland","1.9.6","11.2.6","UIDeviceKindIPhone6S",1,1
"126","100000423273664","2018-04-24 02:45:37","2018-04-24 03:15:59","Australia","1.9.6","11.0.3","UIDeviceKindIPhone8Plus",23,1
"127","100000423294276","2017-07-19 10:34:21","2018-04-24 04:51:30","United States","1.5.5","10.3.3","UIDeviceKindIPhone7",NA,0
"128","100000423344514","2018-04-20 03:22:03","2018-04-24 09:42:02","United States","1.9.6","11.2.6","UIDeviceKindIPhoneX",NA,0
"129","100000423387471","2018-02-14 15:52:24","2018-04-24 13:12:12","United Kingdom","1.9.6","11.2.6","UIDeviceKindIPhone8",3,1
"130","100000423476848","2017-05-10 03:00:53","2018-04-24 19:21:03","United States","1.9.1","11.1","UIDeviceKindIPhone6SPlus",NA,0
"131","100000423489529","2018-04-24 20:17:31","2018-04-24 20:23:24","United States","1.9.6","11.3","UIDeviceKindIPhoneSE",NA,0
"132","100000423558198","2017-02-26 18:45:18","2018-04-25 01:40:27","United States","1.2.4","10.2.1","UIDeviceKindIPhone6",NA,0
"133","100000423598658","2018-04-15 18:51:12","2018-04-25 04:46:12","United States","1.9.6","11.2.6","UIDeviceKindIPhone6",NA,0
"134","100000423619259","2018-04-25 05:30:49","2018-04-25 06:31:30","United States","1.9.6","11.3","UIDeviceKindIPhone6Plus",NA,0
"135","100000423757608","2017-02-10 17:49:54","2018-04-25 17:18:17","United States","1.9.6","11.3","UIDeviceKindIPhoneSE",27,1
"136","100000423783857","2016-11-27 00:02:00","2018-04-25 19:23:42","United States","1.0.2","10.1.1","UIDeviceKindIPhone6Plus",NA,0
"137","100000423918951","2018-01-09 07:39:24","2018-04-26 05:52:02","United States","1.9.6","11.3","UIDeviceKindIPhoneX",17,1
"138","100000424002802","2018-04-26 12:54:08","2018-04-26 12:56:28","United States","1.9.6","11.3","UIDeviceKindIPhone6S",NA,0
"139","100000424118275","2018-04-26 18:48:30","2018-04-26 21:19:41","Ireland","1.9.6","10.3.3","UIDeviceKindIPhone7",NA,0
"140","100000424121352","2018-04-26 21:26:11","2018-04-26 21:32:17","United States","1.9.6","11.3","UIDeviceKindIPadPro10_5",NA,0
"141","100000424161398","2018-01-17 01:28:55","2018-04-27 00:53:52","United States","1.9.6","11.3","UIDeviceKindIPhone6SPlus",NA,0
"142","100000424223237","2018-03-18 01:56:37","2018-04-27 04:16:26","United States","1.9.6","11.3.1","UIDeviceKindIPhone7Plus",NA,0
"143","100000424339196","2018-04-27 13:13:19","2018-04-27 13:17:57","Canada","1.9.6","11.2.6","UIDeviceKindIPhone6S",NA,0
"144","100000424452188","2017-02-11 21:57:02","2018-04-27 20:26:00","United States","1.2.2","10.2","UIDeviceKindIPhone7Plus",NA,0
"145","100000424556321","2018-04-25 09:37:27","2018-04-28 03:21:40","United States","1.9.6","10.3.1","UIDeviceKindIPhone7Plus",NA,0
"146","100000424568199","2018-04-28 04:02:59","2018-04-28 04:07:17","United States","1.9.6","11.3","UIDeviceKindIPhone7Plus",NA,0
"147","100000424647238","2016-11-27 01:46:47","2018-04-28 09:41:45","United States","1.4.3","10.3.1","UIDeviceKindIPhone7Plus",NA,0
"148","100000424745966","2018-02-06 04:33:49","2018-04-28 15:36:55","United States","1.9.1","11.2.5","UIDeviceKindIPhone7Plus",NA,0
"149","100000424791832","2018-04-20 22:17:07","2018-04-28 17:53:57","Ireland","1.9.6","11.3","UIDeviceKindIPhone8",NA,0
"150","100000424801873","2017-06-04 08:04:32","2018-04-28 18:27:32","United States","1.5","10.3.1","UIDeviceKindIPhone7",NA,0
"151","100000424808207","2018-04-28 18:32:22","2018-04-28 18:53:02","United States","1.9.6","11.3","UIDeviceKindIPhone8",NA,0
"152","100000424830265","2016-12-04 12:58:48","2018-04-28 20:18:15","United States","1.9.6","11.3","UIDeviceKindIPadPro2G12_9",NA,0
"153","100000424846326","2017-06-28 17:45:29","2018-04-28 21:27:39","United States","1.6","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"154","100000424848588","2018-01-01 16:24:52","2018-04-28 21:36:45","United States","1.8","11.0.3","UIDeviceKindIPhone7Plus",NA,0
"155","100000424859757","2017-09-17 00:33:52","2018-04-28 22:20:17","United States","1.6.1","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"156","100000424874493","2017-03-25 19:38:01","2018-04-28 23:22:00","United States","1.6.3","11.0.1","UIDeviceKindUnknownIPhone",NA,0
"157","100000424879679","2017-03-25 03:36:00","2018-04-28 23:44:16","United States","1.9.6","11.2.1","UIDeviceKindIPhone8",NA,0
"158","100000424913385","2018-04-28 18:21:34","2018-04-29 01:50:12","United States","1.9.6","11.1","UIDeviceKindIPhoneX",NA,0
"159","100000424934574","2018-04-28 21:54:30","2018-04-29 03:15:31","United States","1.9.6","11.3.1","UIDeviceKindIPhone8Plus",11,1
"160","100000424940572","2018-04-29 00:37:46","2018-04-29 03:40:59","United States","1.9.6","11.3","UIDeviceKindIPhone8Plus",NA,0
"161","100000424966270","2018-04-29 05:20:18","2018-04-29 05:25:54","United States","1.9.6","11.3.1","UIDeviceKindIPhone8Plus",0,1
"162","100000425049864","2017-03-05 18:12:42","2018-04-29 12:12:21","United States","1.9.6","11.3","UIDeviceKindIPhone8Plus",NA,0
"163","100000425178406","2018-04-29 20:05:51","2018-04-29 20:07:32","United States","1.9.6","11.3","UIDeviceKindIPhone8Plus",18,1
"164","100000425211807","2018-04-29 22:20:14","2018-04-29 22:29:32","United States","1.9.6","11.3","UIDeviceKindIPhone6S",NA,0
"165","100000425254160","2018-04-22 15:38:52","2018-04-30 01:22:04","Canada","1.9.6","11.3","UIDeviceKindIPhoneSE",NA,0
"166","100000425272239","2017-11-26 22:12:57","2018-04-30 02:25:46","United States","1.7.3","11.0","UIDeviceKindIPhone8Plus",NA,0
"167","100000425293517","2018-04-29 04:12:53","2018-04-30 03:41:50","United Kingdom","1.9.6","11.4","UIDeviceKindIPhoneX",NA,0
"168","100000425373437","2018-04-29 18:48:18","2018-04-30 09:51:51","United States","1.9.6","11.3","UIDeviceKindIPhone7",NA,0
"169","100000425529951","2018-04-30 19:40:09","2018-04-30 19:43:47","United States","1.9.6","11.3","UIDeviceKindIPhone7Plus",NA,0
"170","100000425575115","2018-01-16 04:04:15","2018-04-30 22:59:02","United States","1.8","11.2.2","UIDeviceKindIPhone7Plus",NA,0
"171","110000396512989","2018-03-31 20:03:05","2018-04-01 01:31:29","United States","1.9.5","11.1.2","UIDeviceKindIPhone8",NA,0
"172","110000396733098","2018-03-18 19:32:29","2018-04-01 13:56:07","United States","1.9.5","11.2.6","UIDeviceKindIPhoneX",NA,0
"173","110000396791627","2017-05-05 15:11:03","2018-04-01 16:33:23","United States","1.5.5","10.3.3","UIDeviceKindIPhone7Plus",NA,0
"174","110000396811773","2018-04-01 17:28:35","2018-04-01 17:32:08","United States","1.9.5","11.2.5","UIDeviceKindIPhoneX",NA,0
"175","110000396847962","2018-04-01 19:36:22","2018-04-01 19:42:10","Hungary","1.9.5","11.2.6","UIDeviceKindIPadPro9_7",2,1
"176","110000396883540","2018-04-01 21:05:19","2018-04-01 21:57:05","United States","1.9.5","11.0.3","UIDeviceKindIPhone8",1,1
"177","110000396892235","2018-04-01 21:30:06","2018-04-01 22:26:05","United Kingdom","1.9.5","11.2.6","UIDeviceKindIPhone8Plus",NA,0
"178","110000396922566","2018-04-02 00:20:26","2018-04-02 00:23:02","United States","1.9.5","11.1.1","UIDeviceKindIPhone7",NA,0
"179","110000396946056","2016-12-27 05:33:22","2018-04-02 01:46:32","United Kingdom","1.5.5","10.3.2","UIDeviceKindIPhone6SPlus",NA,0
"180","110000397012407","2016-12-06 05:05:42","2018-04-02 06:01:23","United States","1.0.4","10.1.1","UIDeviceKindIPadPro9_7",NA,0
"181","110000397055729","2017-07-19 18:18:37","2018-04-02 09:15:34","United Kingdom","1.7","11.0.3","UIDeviceKindIPhone7",NA,0
"182","110000397155892","2017-12-23 16:16:11","2018-04-02 15:04:53","United Kingdom","1.9.5","11.2.6","UIDeviceKindIPhoneSE",3,1
"183","110000397210954","2018-04-02 17:48:06","2018-04-02 18:12:56","United States","1.9.5","11.2.6","UIDeviceKindIPhone6",NA,0
"184","110000397612091","2016-11-26 02:35:53","2018-04-03 19:57:00","United States","1.5","10.3.1","UIDeviceKindIPhone7Plus",NA,0
"185","110000397622178","2018-04-03 20:28:44","2018-04-03 20:40:21","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"186","110000397702305","2018-04-03 04:39:02","2018-04-04 01:48:44","United States","1.9.6","11.2.1","UIDeviceKindIPhone6SPlus",0,1
"187","110000397705051","2018-04-04 01:57:14","2018-04-04 01:59:07","United States","1.9.6","11.2.6","UIDeviceKindIPhone8Plus",7,1
"188","110000397758139","2017-01-18 00:12:05","2018-04-04 05:06:53","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",29,1
"189","110000397774619","2017-11-20 12:26:45","2018-04-04 06:20:29","United States","1.7.3","11.1.1","UIDeviceKindIPhone7Plus",NA,0
"190","110000397907637","2017-10-02 12:51:56","2018-04-04 15:00:10","Australia","1.9.5","11.2.6","UIDeviceKindIPhone7",5,1
"191","110000397935071","2017-10-10 14:52:12","2018-04-04 16:25:31","United States","1.7.5","11.1.2","UIDeviceKindIPhone7Plus",NA,0
"192","110000398351755","2018-04-01 04:31:09","2018-04-05 18:09:22","Indonesia","1.9.5","10.0.2","UIDeviceKindIPhone6",7,1
"193","110000398359921","2018-04-05 18:41:03","2018-04-05 18:43:06","United States","1.9.6","11.2.6","UIDeviceKindIPhone7Plus",NA,0
"194","110000398440704","2018-03-12 20:44:17","2018-04-06 00:12:10","United States","1.9.6","11.0","UIDeviceKindIPhone8",7,1
"195","110000398465024","2017-04-19 04:47:18","2018-04-06 01:36:09","United States","1.9.6","11.2.5","UIDeviceKindIPhone8Plus",NA,0
"196","110000398649946","2018-04-06 13:17:17","2018-04-06 13:51:44","United States","1.9.6","11.2.6","UIDeviceKindIPhone8",NA,0
"197","110000398687457","2018-04-06 15:31:55","2018-04-06 15:59:01","United States","1.9.6","11.2.6","UIDeviceKindIPhone7",NA,0
